candidate,perf_status,quality_status,quality_policy,promotable,case,width,height,avg_wall_ms,baseline_avg_wall_ms,wall_delta_pct,speedup,avg_pass_count,baseline_avg_pass_count,pass_count_delta,threadgroup,diffusion_group_size,scanner_image_storage,blur_backend,blur_downsample,intermediate_precision,diffusion_cluster_sigma,halation_grouped_tail,scanner_mps,grain_blur_recurrence,dir_tail_backend,source_format,destination_format,host_layout
baseline,OK,PASSED,exact,1,all-effects,3840,2160,2512.988,2512.988,0.0,1.0,83.0,83.0,0.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous
strict-dg2-recurrence,OK,PASSED,exact,1,default-final,1920,1080,15.436,15.433,0.019438864770298152,0.9998056491318994,5.0,5.0,0.0,auto,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
strict-dg2-recurrence,OK,PASSED,exact,1,production-grain,1920,1080,46.14,46.242,-0.2205786946931291,1.0022106631989596,11.0,11.0,0.0,auto,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
strict-dg2-recurrence,OK,PASSED,exact,1,enlarged-production-grain,1920,1080,47.477,48.103,-1.3013741346693652,1.0131853318448933,12.0,12.0,0.0,auto,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
strict-dg2-recurrence,OK,PASSED,exact,1,production-grain-no-sublayers,1920,1080,26.197,26.542,-1.2998266897747057,1.013169446883231,9.0,9.0,0.0,auto,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
strict-dg2-recurrence,OK,PASSED,exact,1,production-grain-no-blur,1920,1080,20.603,20.834,-1.1087645195353657,1.0112119594233848,7.0,7.0,0.0,auto,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
strict-dg2-recurrence,OK,PASSED,exact,1,auto-exposure,1920,1080,9.082,9.039,0.47571634030314236,0.9952653600528517,4.0,4.0,0.0,auto,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
strict-dg2-recurrence,OK,PASSED,exact,1,halation-only,1920,1080,22.879,22.902,-0.10042791022617974,1.0010052886926877,21.0,21.0,0.0,auto,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
strict-dg2-recurrence,OK,PASSED,exact,1,halation-boost,1920,1080,24.115,24.148,-0.1366572801060181,1.0013684428778769,24.0,24.0,0.0,auto,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
strict-dg2-recurrence,OK,PASSED,exact,1,camera-diffusion-only,1920,1080,328.648,350.456,-6.222749788846529,1.066356709914559,34.0,60.0,-26.0,auto,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
strict-dg2-recurrence,OK,PASSED,exact,1,print-diffusion-only,1920,1080,328.97,349.67,-5.919867303457542,1.0629236708514453,35.0,61.0,-26.0,auto,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
strict-dg2-recurrence,OK,PASSED,exact,1,dir-only,1920,1080,35.557,35.606,-0.13761725551873136,1.0013780690159462,8.0,8.0,0.0,auto,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
strict-dg2-recurrence,OK,PASSED,exact,1,scanner-only,1920,1080,6.951,6.964,-0.18667432510052825,1.0018702344986334,9.0,9.0,0.0,auto,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
strict-dg2-recurrence,OK,PASSED,exact,1,scanner-glare,1920,1080,10.57,10.884,-2.884968761484749,1.0297067171239356,9.0,9.0,0.0,auto,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
strict-dg2-recurrence,OK,PASSED,exact,1,all-effects,1920,1080,452.572,496.876,-8.916510356708711,1.0978938157906366,57.0,83.0,-26.0,auto,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
strict-dg2-recurrence,OK,PASSED,exact,1,default-final,3840,2160,59.278,58.968,0.5257088590421841,0.9947704038597794,5.0,5.0,0.0,auto,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
strict-dg2-recurrence,OK,PASSED,exact,1,production-grain,3840,2160,181.533,183.33,-0.9801996399934683,1.0098990266232588,11.0,11.0,0.0,auto,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
strict-dg2-recurrence,OK,PASSED,exact,1,enlarged-production-grain,3840,2160,190.817,200.757,-4.951259482857384,1.0520917947562325,12.0,12.0,0.0,auto,2,buffer,custom,off,float,off,0.0,0.0,1.0,fused,float,float,contiguous
